"ID","x"
"1",11.2055988311768
"2",12.2870492935181
"3",27.2818756103516
"4",45.4164085388184
"5",15.2490901947021
"6",16.5689125061035
"7",5.82420873641968
"8",26.5884628295898
"9",43.7164878845215
"10",10.2920112609863
"11",9.76602840423584
"12",18.320140838623
"13",29.745698928833
"14",515.1328125
"15",13.103066444397
"16",139.1396484375
"17",67.0682601928711
"18",51.5031776428223
"19",81.3984146118164
"20",63.1379699707031
"21",57.175651550293
"22",114.838592529297
"23",2.70975041389465
"24",10.3805284500122
"25",14.1042556762695
"26",54.5337371826172
"27",25.0067939758301
"28",72.1286087036133
"29",19.1050224304199
"30",22.2348613739014
"31",43.9234848022461
"32",17.9268932342529
"33",31.8439331054688
"34",12.2374849319458
"35",10.8155031204224
"36",44.6191787719727
"37",21.573902130127
"38",27.6642322540283
"39",2.85455918312073
"40",26.8868656158447
"41",25.0938091278076
"42",7.01164579391479
"43",57.1287536621094
"44",15.5572957992554
"45",517.413330078125
"46",5.40956878662109
"47",5.66393613815308
"48",10.2942066192627
"49",1.43456876277924
"50",4.26236629486084
"51",38.2780838012695
"52",7.99420547485352
"53",1.58801829814911
"54",3.19166588783264
"55",6.51773071289062
"56",1.57430732250214
"57",2.14931702613831
"58",4.18258762359619
"59",11.680534362793
"60",1.54888153076172
"61",1.50286328792572
"62",5.58364582061768
"63",4.0097541809082
"64",265.843231201172
"65",4.35222434997559
"66",1.69446504116058
"67",3.66438817977905
"68",1.53861474990845
"69",61.2513999938965
"70",41.3608894348145
"71",202.357772827148
"72",68.2937469482422
"73",121.95036315918
"74",20.9643630981445
"75",42.9925346374512
"76",26.808988571167
"77",58.1979064941406
"78",42.1918716430664
"79",256.497711181641
"80",44.0341377258301
"81",1048.51538085938
"82",24.5984516143799
"83",110.621131896973
"84",220.482925415039
"85",77.8357849121094
"86",25.4107627868652
"87",89.614387512207
"88",17.6839199066162
"89",553.826232910156
"90",250.832611083984
"91",59.3569946289062
"92",60.7331771850586
"93",215.545272827148
"94",51.6259117126465
"95",32.5516624450684
